Using device: cuda:0
Found 167805 images belonging to 6563 classes.
Character map saved to char_map.json
Train samples: 134244
Val samples: 33561
Training log will be saved to: output/logs/lr_0.01_bs_32/train.log
Model artifacts will be saved to: output/models/lr_0.01_bs_32
Total parameters: 36955619
Trainable parameters: 28412323

Epoch 1/50
----------
  Batch 2250/4196, Loss: 4.1776
  Batch 2300/4196, Loss: 5.2042
  Batch 2350/4196, Loss: 4.6810
  Batch 2400/4196, Loss: 4.6510
  Batch 2450/4196, Loss: 4.4147
  Batch 2500/4196, Loss: 4.8252
  Batch 2550/4196, Loss: 5.8924
  Batch 2600/4196, Loss: 4.3087
  Batch 2650/4196, Loss: 4.6621
  Batch 2700/4196, Loss: 5.2125
  Batch 2750/4196, Loss: 5.1905
  Batch 2800/4196, Loss: 5.7222
  Batch 2850/4196, Loss: 4.9952
  Batch 2900/4196, Loss: 5.7489
  Batch 2950/4196, Loss: 4.7565
  Batch 3000/4196, Loss: 5.3562
  Batch 3050/4196, Loss: 4.9067
  Batch 3100/4196, Loss: 4.7508
  Batch 3150/4196, Loss: 4.3058
  Batch 3200/4196, Loss: 4.9271
  Batch 3250/4196, Loss: 5.5784
  Batch 3300/4196, Loss: 4.9730
  Batch 3350/4196, Loss: 5.1404
  Batch 3400/4196, Loss: 4.3833
  Batch 3450/4196, Loss: 5.5846
  Batch 3500/4196, Loss: 4.6948
  Batch 3550/4196, Loss: 4.7554
  Batch 3600/4196, Loss: 4.8893
  Batch 3650/4196, Loss: 5.0221
  Batch 3700/4196, Loss: 3.7781
  Batch 3750/4196, Loss: 4.4020
  Batch 3800/4196, Loss: 5.8086
  Batch 3850/4196, Loss: 4.3456
  Batch 3900/4196, Loss: 4.7909
  Batch 3950/4196, Loss: 4.1492
