Using device: cuda:0
Found 167805 images belonging to 6563 classes.
Character map already exists, skipping creation.
Train samples: 134244
Val samples: 33561
Training log will be saved to: output/logs/lr_0.0005_bs_16/train.log
Model artifacts will be saved to: output/models/lr_0.0005_bs_16
Total parameters: 36955619
Trainable parameters: 28412323

Epoch 1/50
----------
  Batch 4100/8391, Loss: 4.9231
  Batch 4150/8391, Loss: 4.2457
  Batch 4200/8391, Loss: 4.5393
  Batch 4250/8391, Loss: 5.3315
  Batch 4300/8391, Loss: 5.7924
  Batch 4350/8391, Loss: 4.2375
  Batch 4400/8391, Loss: 5.7510
  Batch 4450/8391, Loss: 4.4537
  Batch 4500/8391, Loss: 5.5944
  Batch 4550/8391, Loss: 4.6314
  Batch 4600/8391, Loss: 5.6272
  Batch 4650/8391, Loss: 4.8945
  Batch 4700/8391, Loss: 4.5380
  Batch 4750/8391, Loss: 3.4499
  Batch 4800/8391, Loss: 5.4064
  Batch 4850/8391, Loss: 3.7114
  Batch 4900/8391, Loss: 4.9166
  Batch 4950/8391, Loss: 4.4806
  Batch 5000/8391, Loss: 5.7401
  Batch 5050/8391, Loss: 5.0278
  Batch 5100/8391, Loss: 4.3853
  Batch 5150/8391, Loss: 5.1042
  Batch 5200/8391, Loss: 5.5407
  Batch 5250/8391, Loss: 3.5022
  Batch 5300/8391, Loss: 4.4391
  Batch 5350/8391, Loss: 4.4035
  Batch 5400/8391, Loss: 3.5097
  Batch 5450/8391, Loss: 4.3882
  Batch 5500/8391, Loss: 4.8009
  Batch 5550/8391, Loss: 4.3045
  Batch 5600/8391, Loss: 3.4752
  Batch 5650/8391, Loss: 4.4573
  Batch 5700/8391, Loss: 4.6188
  Batch 5750/8391, Loss: 3.4778
  Batch 5800/8391, Loss: 4.1602
  Batch 5850/8391, Loss: 5.4657
  Batch 5900/8391, Loss: 5.2033
  Batch 5950/8391, Loss: 5.2145
  Batch 6000/8391, Loss: 5.5011
  Batch 6050/8391, Loss: 4.4784
  Batch 6100/8391, Loss: 3.6597
  Batch 6150/8391, Loss: 5.6543
  Batch 6200/8391, Loss: 3.6685
  Batch 6250/8391, Loss: 3.5970
  Batch 6300/8391, Loss: 4.7362
  Batch 6350/8391, Loss: 4.3676
  Batch 6400/8391, Loss: 5.3076
  Batch 6450/8391, Loss: 4.0399
  Batch 6500/8391, Loss: 3.8298
  Batch 6550/8391, Loss: 4.7020
  Batch 6600/8391, Loss: 3.3112
  Batch 6650/8391, Loss: 3.0470
  Batch 6700/8391, Loss: 6.4604
  Batch 6750/8391, Loss: 3.2376
  Batch 6800/8391, Loss: 3.3674
  Batch 6850/8391, Loss: 4.7012
  Batch 6900/8391, Loss: 3.8652
  Batch 6950/8391, Loss: 5.5446
  Batch 7000/8391, Loss: 4.3576
  Batch 7050/8391, Loss: 5.1103
  Batch 7100/8391, Loss: 3.9934
  Batch 7150/8391, Loss: 3.0935
  Batch 7200/8391, Loss: 3.8877
  Batch 7250/8391, Loss: 2.8505
  Batch 7300/8391, Loss: 4.3756
  Batch 7350/8391, Loss: 3.5949
  Batch 7400/8391, Loss: 3.8931
  Batch 7450/8391, Loss: 3.8000
  Batch 7500/8391, Loss: 4.3208
  Batch 7550/8391, Loss: 3.7735
  Batch 7600/8391, Loss: 5.7419
  Batch 7650/8391, Loss: 4.3815
  Batch 7700/8391, Loss: 3.2103
  Batch 7750/8391, Loss: 5.4884
  Batch 7800/8391, Loss: 3.4235
  Batch 7850/8391, Loss: 4.3057
  Batch 7900/8391, Loss: 6.0247
  Batch 7950/8391, Loss: 4.7511
  Batch 8000/8391, Loss: 2.8803
  Batch 8050/8391, Loss: 3.5128
  Batch 8100/8391, Loss: 3.1019
  Batch 8150/8391, Loss: 4.7104
  Batch 8200/8391, Loss: 4.9876
  Batch 8250/8391, Loss: 4.3403
  Batch 8300/8391, Loss: 3.6325
  Batch 8350/8391, Loss: 4.2429
Train Loss: 4.5698 Acc: 0.2420
Val Loss: 3.6357 Acc: 0.4052
Validation inference time: 44.9628s total, 1.3397 ms/sample
Best model saved to output/models/lr_0.0005_bs_16/best_model.pth
Best model metrics saved to output/logs/lr_0.0005_bs_16/best_model_metrics.json and output/logs/lr_0.0005_bs_16/best_model_metrics.txt
Epoch time: 410.69s
Checkpoint saved to output/models/lr_0.0005_bs_16/latest_checkpoint.pth

